# 水凝胶文献综述 — 缺 PDF 列表
# 生成时间: 2026-05-15
# 总笔记数: 685, 已有PDF: 78, 缺PDF: 607
# 状态说明: failed = pipeline尝试下载失败, untried = 从未尝试下载
# 列: DOI | 标题 | 状态

10.1002/advs.202500478 | Hydrogel-Transformable Probiotic Powder for Targeted Eradication of Helicobacter pylori with Enhanced Gastric Mucosal Repair and Microbiota Preservation | untried
10.1002/advs.202507209 | Recent Developments in Nanoparticle‐Hydrogel Hybrid Materials for Controlled Release | untried
10.1002/advs.202510717 | Mechanically Active Hydrogel for Healing Intestinal Fistulas through the YAP-Mediated Mechanosensitization of Intestinal Epithelial Cells | untried
10.1002/aesr.202300231 | Recent Advancements of MXene/Nanocellulose-Based Hydrogel and Aerogel: A Review | untried
10.1002/anie.201708614 | Anti-freezing, Conductive Self-healing Organohydrogels with Stable Strain-sensitivity at Subzero Temperatures | untried
10.1002/anie.201803366 | Rational Fabrication of Anti-Freezing, Non-Drying Tough Organohydrogels by One-Pot Solvent Displacement. | untried
10.1002/anie.202503776 | Tumor Microenvironment-Responsive Polymer Delivery Platforms for Cancer Therapy. | untried
10.1002/anie.202512142 | Bioinspired Anti-Freezing Hydrogel With Localized Ice Regulation for Subzero Soft Robotics. | untried
10.1002/app.55298 | A temperature-responsive dual network hydrogel for reversible smart actuator | failed
10.1002/app.58040 | High‐Strength, Frost‐Resistant PVA/PANI Conductive Hydrogels Suitable for Flexible Sensing | failed
10.1002/chem.202503107 | Interpenetrating Polymer Network Eutectogels Derived From Polymerizable Deep Eutectic Solvents for Low-Temperature Supercapacitors. | untried
10.1002/cssc.202200399 | Cellulose-derived carbon dots guided growth of ZnIn2S4 nanosheets for photocatalytic oxidation of 5-hydroxymethylfurfural into 2,5-diformylfuran. | failed
10.1002/ddr.70102 | Multilayer Antibacterial Hydrogel Wound Dressings Incorporated With Green Synthesized Silver Nanoparticles | untried
10.1002/efd2.70080 | Bacterial Nanocellulose: A Sustainable Revolution in Food Science | untried
10.1002/fob2.70000 | Natural polymer‐based hydrogels: Types, functionality, food applications, environmental significance and future perspectives: An updated review | untried
10.1002/jccs.202400303 | Silver nanoparticle‐infused hydrogels for biomedical applications: A comprehensive review | untried
10.1002/mabi.202300376 | Biofabrication of Cellulose-Based Hydrogels for Advanced Wound Healing: a Special Emphasis on 3d Bioprinting. | untried
10.1002/mabi.202500568 | Bacteriophage and Nitric Oxide Combined Release from a Dual Hydrogel Matrix for Wound Healing Applications | untried
10.1002/macp.202500164 | Preparation of PAMgA/LiCl/GL Anti‐Freezing Conductive Hydrogel for Wearable Strain Sensors | failed
10.1002/marc.202500270 | A Cellulose Ionogel with Mechanical Robustness and Extreme Temperature Tolerance for Electronic Skin. | untried
10.1002/mba2.70017 | Emerging Trends in Injectable Stimuli‐Responsive Hydrogel Microspheres: Design Strategies and Therapeutic Innovations | untried
10.1002/pat.70099 | Interpenetrating Polymer Networks in Biomedical Fields: Recent Advanced and Applications | untried
10.1002/pat.70132 | Bioactive Hydrogels (Bio-HyGs): Emerging Trends in Drug Delivery and Wound Healing Applications | untried
10.1002/pat.70372 | Advances in Polyvinyl Alcohol Based Hydrogels for Sensing Technologies | untried
10.1002/pc.27243 | Preparation of spherical nanocellulose from <scp>Gai</scp> bamboo and mechanical properties of chitosan/nanocellulose composite | failed
10.1002/pen.70053 | Development and Characterization of Novel Biodegradable Hydrogels With Controlled Moisture Release for Smart Packaging Materials | untried
10.1002/pol.20250422 | Design and Simulation of Thermo‐Responsive 4D Hydrogel Materials | untried
10.1002/slct.202400710 | A Cellulose Reinforced Polyacrylamide/Polyvinyl Alcohol Dual Network Hydrogel for Flexible Sensors | failed
10.1002/slct.202405745 | (NO TITLE) | untried
10.1002/smll.202400161 | Nature-Inspired Molecular-Crowding Enabling Wide-Humidity Range Applicable, Anti-Freezing, and Robust Zwitterionic Hydrogels for On-Skin Electronics. | untried
10.1002/smll.202405826 | Silver Nanoparticle-Decorated Cellulose Nanocrystal Reinforced Ionic Polymer Hydrogel With High Conductivity and Environmental Tolerance for Multifunctional Sensing and Emergency Alarm System. | failed
10.1002/smll.202409365 | Self-Healing and Antifreezing/Antidrying Conductive Eutectohydrogel-Based Biosignal Monitoring Multisensors with Integrated Supercapacitor. | failed
10.1002/smll.202411657 | N-Doped Holey Graphene/Porous Carbon/Cellulose Nanofibers Electrode and Hydrogel Electrolyte for Low-temperature Zinc-ion Hybrid Supercapacitors. | untried
10.1002/sstr.202300073 | Anisotropic, Strong, and Thermally Insulating 3D-Printed Nanocellulose-PNIPAAM Aerogels | untried
10.1002/sus2.249 | Poly(ionic liquid) functionalization: A general strategy for strong, tough, ionic conductive, and multifunctional polysaccharide hydrogels toward sensors | failed
10.1007/bf00820270 | (NO TITLE) | failed
10.1007/s10118-025-3419-2 | (NO TITLE) | failed
10.1007/s10570-009-9300-6 | (NO TITLE) | failed
10.1007/s10570-009-9357-2 | (NO TITLE) | failed
10.1007/s10570-011-9514-2 | (NO TITLE) | failed
10.1007/s10570-012-9664-x | (NO TITLE) | failed
10.1007/s10570-019-02435-8 | (NO TITLE) | failed
10.1007/s10570-019-02783-5 | (NO TITLE) | failed
10.1007/s10570-021-04278-8 | (NO TITLE) | failed
10.1007/s10570-021-04321-8 | (NO TITLE) | failed
10.1007/s10570-022-04642-2 | (NO TITLE) | failed
10.1007/s10570-022-04643-1 | (NO TITLE) | failed
10.1007/s10570-022-04652-0 | (NO TITLE) | failed
10.1007/s10570-022-04936-5 | (NO TITLE) | failed
10.1007/s10570-023-05312-7 | (NO TITLE) | failed
10.1007/s10570-023-05548-3 | (NO TITLE) | failed
10.1007/s10570-024-05874-0 | (NO TITLE) | failed
10.1007/s10570-024-05964-z | (NO TITLE) | failed
10.1007/s10570-024-06093-3 | (NO TITLE) | failed
10.1007/s10570-024-06226-8 | (NO TITLE) | failed
10.1007/s10570-025-06861-9 | (NO TITLE) | failed
10.1007/s10853-022-07379-2 | (NO TITLE) | failed
10.1007/s10904-025-04148-x | (NO TITLE) | failed
10.1007/s10924-024-03321-6 | (NO TITLE) | failed
10.1007/s12221-022-4584-3 | (NO TITLE) | failed
10.1007/s12274-022-4944-8 | (NO TITLE) | failed
10.1007/s12274-023-6267-9 | (NO TITLE) | failed
10.1007/s40820-024-01329-0 | A Sustainable Dual Cross-Linked Cellulose Hydrogel Electrolyte for High-Performance Zinc-Metal Batteries | downloaded
10.1016/S0032-3861(01)00358-5 | States of water in different hydrophilic polymers — DSC and FTIR studies | untried
10.1016/j.addr.2024.115463 | (NO TITLE) | failed
10.1016/j.apmt.2023.101777 | (NO TITLE) | failed
10.1016/j.bej.2022.108476 | (NO TITLE) | failed
10.1016/j.biortech.2023.129401 | Exploration of the interaction mechanism of lignocellulosic hybrid systems based on deep eutectic solvents. | untried
10.1016/j.carbpol.2021.117671 | Preparation and properties of conductive bacterial cellulose-based graphene oxide-silver nanoparticles antibacterial dressing. | failed
10.1016/j.carbpol.2021.118695 | Structure reorganization of cellulose hydrogel by green solvent exchange for potential plastic replacement. | untried
10.1016/j.carbpol.2021.118872 | Nanocellulose-enhanced organohydrogel with high-strength, conductivity, and anti-freezing properties for wearable strain sensors. | untried
10.1016/j.carbpol.2022.119199 | An environmentally tolerant, highly stable, cellulose nanofiber-reinforced, conductive hydrogel multifunctional sensor. | failed
10.1016/j.carbpol.2022.119673 | Stretchable and conductive cellulose hydrogel electrolytes for flexible and foldable solid-state supercapacitors. | untried
10.1016/j.carbpol.2022.120117 | Microstructural architecture and mechanical properties of empowered cellulose-based aerogel composites via TEMPO-free oxidation. | failed
10.1016/j.carbpol.2022.120140 | Cellulose/nanocellulose superabsorbent hydrogels as a sustainable platform for materials applications: A mini-review and perspective. | untried
10.1016/j.carbpol.2023.120567 | Strong, conductive, and freezing-tolerant polyacrylamide/PEDOT:PSS/cellulose nanofibrils hydrogels for wearable strain sensors. | failed
10.1016/j.carbpol.2023.120744 | The thermodynamics of enhanced dope stability of cellulose solution in NaOH solution by urea. | failed
10.1016/j.carbpol.2023.121160 | Tough and strong sustainable thermoplastic elastomers nanocomposite with self-assembly of SI-ATRP modified cellulose nanofibers. | untried
10.1016/j.carbpol.2023.121235 | Adhesive injectable cellulose-based hydrogels with rapid self-healing and sustained drug release capability for promoting wound healing. | untried
10.1016/j.carbpol.2023.121454 | (NO TITLE) | failed
10.1016/j.carbpol.2023.121685 | Multifunctioning of carboxylic-cellulose nanocrystals on the reinforcement of compressive strength and conductivity for acrylic-based hydrogel. | failed
10.1016/j.carbpol.2024.121932 | Self-healing, environmentally stable and adhesive hydrogel sensor with conductive cellulose nanocrystals for motion monitoring and character recognition. | failed
10.1016/j.carbpol.2024.122067 | Nanocellulose-mediated bilayer hydrogel actuators with thermo-responsive, shape memory and self-sensing performances. | untried
10.1016/j.carbpol.2024.122068 | Highly elastic, fatigue-resistant, antibacterial, conductive, and nanocellulose-enhanced hydrogels with selenium nanoparticles loading as strain sensors. | failed
10.1016/j.carbpol.2024.122271 | Zwitterionic cellulose nanofibers-based hydrogels with high toughness, ionic conductivity, and healable capability in cryogenic environments. | failed
10.1016/j.carbpol.2024.122406 | Wide-humidity, anti-freezing and stretchable multifunctional conductive carboxymethyl cellulose-based hydrogels for flexible wearable strain sensors and arrays. | failed
10.1016/j.carbpol.2024.122444 | Dual cross-linked cellulose-based hydrogel for dendrites-inhibited flexible zinc-ion energy storage devices with ultra-long cycles and high energy density. | failed
10.1016/j.carbpol.2024.122472 | Strong, tough, and freeze-tolerant all-natural cellulose-based ionic conductor enabled by multiscale cellulose networks. | failed
10.1016/j.carbpol.2024.122497 | Tunable thermoresponsive and stretchable hydrogel sensor based on hydroxypropyl cellulose for human motion/health detection, visual signal transmission and information encryption. | failed
10.1016/j.carbpol.2024.122552 | Tough and temperature-tolerance cellulose/polyacrylic acid/bentonite hydrogel with high ionic conductivity enables self-powered triboelectric wearable electronic devices. | failed
10.1016/j.carbpol.2024.122788 | (NO TITLE) | untried
10.1016/j.carbpol.2024.122936 | A flexible, antifreezing, and long-term stable cellulose ionic conductive hydrogel via one-step preparation for flexible electronic sensors. | failed
10.1016/j.carbpol.2024.122939 | Natural cellulose reinforced multifunctional eutectogels for wearable sensors and epidermal electrodes. | failed
10.1016/j.carbpol.2024.123136 | An antimicrobial and adhesive conductive chitosan quaternary ammonium salt hydrogel dressing for combined electrical stimulation and photothermal treatment to promote wound healing. | failed
10.1016/j.carbpol.2025.123253 | Hybrid crosslinking cellulose nanofibers-reinforced zwitterionic poly (ionic liquid) organohydrogel with high-stretchable, anti-freezing, anti-drying as strain sensor application. | failed
10.1016/j.carbpol.2025.123257 | (NO TITLE) | untried
10.1016/j.carbpol.2025.124312 | Anti-freezing and robust Ag-MOFs@PVA/XG hydrogel for flexible sensing and robotic state monitoring. | failed
10.1016/j.cej.2020.125341 | Ultrafast gelling using sulfonated lignin-Fe3+ chelates to produce dynamic crosslinked hydrogel/coating with charming stretchable, conductive, self-healing, and ultraviolet-blocking properties | failed
10.1016/j.cej.2021.130353 | (NO TITLE) | failed
10.1016/j.cej.2022.135057 | (NO TITLE) | failed
10.1016/j.cej.2022.137056 | (NO TITLE) | failed
10.1016/j.cej.2022.138675 | (NO TITLE) | failed
10.1016/j.cej.2023.147065 | (NO TITLE) | failed
10.1016/j.cej.2023.147888 | (NO TITLE) | failed
10.1016/j.cej.2023.148192 | (NO TITLE) | failed
10.1016/j.cej.2023.148305 | (NO TITLE) | failed
10.1016/j.cej.2024.149951 | (NO TITLE) | failed
10.1016/j.cej.2024.151143 | (NO TITLE) | failed
10.1016/j.cej.2024.153309 | Unique CuOx-FeOx interfaces in Cu-decorated Fe-based catalysts facilitating CO2 hydrogenation to higher hydrocarbons | untried
10.1016/j.cej.2024.153567 | (NO TITLE) | failed
10.1016/j.cej.2024.154883 | (NO TITLE) | untried
10.1016/j.cej.2024.154994 | (NO TITLE) | failed
10.1016/j.cej.2024.155808 | (NO TITLE) | failed
10.1016/j.colsurfa.2022.130390 | (NO TITLE) | failed
10.1016/j.colsurfa.2025.136757 | (NO TITLE) | failed
10.1016/j.colsurfa.2026.140175 | (NO TITLE) | failed
10.1016/j.compositesa.2022.107039 | (NO TITLE) | failed
10.1016/j.compositesb.2020.108246 | (NO TITLE) | failed
10.1016/j.compositesb.2023.111022 | (NO TITLE) | failed
10.1016/j.diamond.2024.110789 | (NO TITLE) | failed
10.1016/j.esci.2026.100584 | (NO TITLE) | failed
10.1016/j.eurpolymj.2020.110258 | (NO TITLE) | failed
10.1016/j.eurpolymj.2021.110565 | (NO TITLE) | failed
10.1016/j.eurpolymj.2023.112603 | (NO TITLE) | failed
10.1016/j.eurpolymj.2024.113312 | (NO TITLE) | failed
10.1016/j.eurpolymj.2024.113620 | (NO TITLE) | failed
10.1016/j.ijbiomac.2020.10.143 | (NO TITLE) | untried
10.1016/j.ijbiomac.2021.02.104 | (NO TITLE) | failed
10.1016/j.ijbiomac.2021.09.075 | A TEMPO-oxidized cellulose nanofibers/MOFs hydrogel with temperature and pH responsiveness for fertilizers slow-release. | failed
10.1016/j.ijbiomac.2022.03.025 | Chitin/Ca solvent-based conductive and stretchable organohydrogel with anti-freezing and anti-drying. | failed
10.1016/j.ijbiomac.2022.06.011 | A high-conductive, anti-freezing, antibacterial and anti-swelling starch-based physical hydrogel for multifunctional flexible wearable sensors. | failed
10.1016/j.ijbiomac.2022.11.014 | Highly stretchable, self-healing, and degradable ionic conductive cellulose hydrogel for human motion monitoring. | failed
10.1016/j.ijbiomac.2023.123425 | Highly conductive and anti-freezing cellulose hydrogel for flexible sensors. | failed
10.1016/j.ijbiomac.2023.123936 | High strength, anti-freezing and conductive silkworm excrement cellulose-based ionic hydrogel with physical-chemical double cross-linked for pressure sensing. | failed
10.1016/j.ijbiomac.2023.124780 | Highly stretchable, tough and conductive chitin nanofiber composite hydrogel as a wearable sensor. | failed
10.1016/j.ijbiomac.2023.125973 | Muscle-inspired anisotropic carboxymethyl cellulose-based double-network conductive hydrogels for flexible strain sensors. | failed
10.1016/j.ijbiomac.2023.126550 | Compressible, anti-freezing, and ionic conductive cellulose/polyacrylic acid composite hydrogel prepared via AlCl3/ZnCl2 aqueous system as solvent and catalyst. | failed
10.1016/j.ijbiomac.2023.126693 | A dual pH- and temperature-responsive hydrogel produced in situ crosslinking of cyclodextrin-cellulose for wound healing. | failed
10.1016/j.ijbiomac.2023.127396 | Low-temperature strain-sensitive sensor based on cellulose-based ionic conductive hydrogels with moldable and self-healing properties. | failed
10.1016/j.ijbiomac.2023.129068 | Multifunctional organohydrogel via the synergy of dialdehyde starch and glycerol for motion monitoring and sign language recognition. | failed
10.1016/j.ijbiomac.2023.129081 | Recent advances in TEMPO-oxidized cellulose nanofibers: Oxidation mechanism, characterization, properties and applications. | failed
10.1016/j.ijbiomac.2024.130732 | Recent advances and biomedical application of 3D printed nanocellulose-based adhesive hydrogels: A review. | failed
10.1016/j.ijbiomac.2024.131115 | Cellulose-reinforced highly stretchable and adhesive eutectogels as efficient sensors. | failed
10.1016/j.ijbiomac.2024.131118 | Anti-freezing hydrogel regulated by ice-structuring proteins/cellulose nanofibers system as flexible sensor for winter sports. | failed
10.1016/j.ijbiomac.2024.131129 | Transparent, super stretchable, freezing-tolerant, self-healing ionic conductive cellulose based eutectogel for multi-functional sensors. | failed
10.1016/j.ijbiomac.2024.132419 | Mussel-inspired antimicrobial hydrogel with cellulose nanocrystals/tannic acid modified silver nanoparticles for enhanced calvarial bone regeneration. | failed
10.1016/j.ijbiomac.2024.132585 | Ultra-stretchable, adhesive, fatigue resistance, and anti-freezing conductive hydrogel based on gelatin/guar gum and liquid metal for dual-sensory flexible sensor and all-in-one supercapacitors. | failed
10.1016/j.ijbiomac.2024.132912 | Novel insights on room temperature-induced cellulose dissolution mechanism via ZnCl2 aqueous solution: Migration, penetration, interaction, and dispersion. | failed
10.1016/j.ijbiomac.2024.135947 | Notch-insensitive, tough and self-healing conductive bacterial cellulose nanocomposite hydrogel for flexible wearable strain sensor. | failed
10.1016/j.ijbiomac.2024.136439 | Sustainable, temperature-tolerant, dual network conductive pressure sensitive adhesive from cellulose and rosin for wearable sensing. | failed
10.1016/j.ijbiomac.2024.137911 | Itaconic acid/cellulose-based hydrogels with fire-resistant and anti-freezing properties via vat photopolymerization 3D printing. | failed
10.1016/j.ijbiomac.2024.138188 | Synthesis of novel deep eutectic solvent-modified nano cellulosic gel formulation-based strain sensor for human motion monitoring. | failed
10.1016/j.ijbiomac.2025.023888 | (NO TITLE) | failed
10.1016/j.ijbiomac.2025.141174 | Cellulose-based 3D printing bio-inks for biomedical applications: A review. | failed
10.1016/j.ijbiomac.2025.141443 | Effect of cellulose fibers on the structure, rheological and 3D printing properties of corn starch-based hydrogel ink. | failed
10.1016/j.ijbiomac.2025.143914 | Fully enhances the performance of eutectic hydrogels in the field of flexible sensors by cellulose. | failed
10.1016/j.ijbiomac.2025.147477 | Sodium carboxymethyl cellulose/polyvinyl alcohol/clove essential oil composite hydrogel with integrated antibacterial, antifreeze, and conductive properties as a wearable sensor for human motion monitoring. | failed
10.1016/j.ijbiomac.2025.148851 | Cellulose nanofiber-reinforced chitosan conductive hydrogel tailored by double-network strategy for stretchable strain sensor. | failed
10.1016/j.ijbiomac.2025.149374 | Mechanically resilient, freeze-resistant, and antibacterial carboxymethyl cellulose/phytic acid hydrogel sensors for respiratory monitoring. | failed
10.1016/j.ijbiomac.2026.150776 | Polydopamine-functionalized cellulose nanofibrils with Ag deposition for robust poly(vinyl alcohol) hydrogel strain sensor. | failed
10.1016/j.indcrop.2015.11.083 | (NO TITLE) | failed
10.1016/j.indcrop.2024.118026 | (NO TITLE) | failed
10.1016/j.indcrop.2024.118405 | (NO TITLE) | failed
10.1016/j.indcrop.2024.118692 | (NO TITLE) | failed
10.1016/j.indcrop.2024.119541 | (NO TITLE) | failed
10.1016/j.jcis.2021.04.001 | (NO TITLE) | failed
10.1016/j.jcis.2022.01.117 | Super-stretchable and adhesive cellulose Nanofiber-reinforced conductive nanocomposite hydrogel for wearable Motion-monitoring sensor. | failed
10.1016/j.jcis.2024.02.002 | Frost-resistant nanocellulose-based organohydrogel with high mechanical strength and transparency. | failed
10.1016/j.jcis.2024.05.102 | Aqueous AlCl3/ZnCl2 solution room-induced the self-growing strategy of expanded topological network for cellulose/polyacrylamide-based solid-state electrolytes. | failed
10.1016/j.jcis.2024.08.119 | Dual-network hydrogel capsules for controlled molecular transport via pH and temperature responsiveness. | failed
10.1016/j.jcis.2024.10.070 | Polymerizable deep eutectic solvent-gels synthesized in situ under molecular engineering control exhibit excellent adhesion, freeze resistance, as well as stretching and humidity sensing capabilities. | failed
10.1016/j.jmbbm.2025.107258 | Electrospun gelatin fiber-gelatin methacryloyl hydrogel composites for reproductive applications. | failed
10.1016/j.molliq.2023.122456 | (NO TITLE) | failed
10.1016/j.mseb.2025.118923 | (NO TITLE) | failed
10.1016/j.nanoen.2022.107374 | (NO TITLE) | failed
10.1016/j.nanoen.2024.109500 | (NO TITLE) | failed
10.1016/j.polymer.2023.126490 | (NO TITLE) | failed
10.1016/j.polymer.2024.126735 | (NO TITLE) | failed
10.1016/j.polymer.2024.126837 | (NO TITLE) | failed
10.1016/j.polymer.2025.129027 | (NO TITLE) | failed
10.1016/j.polymer.2025.129279 | (NO TITLE) | failed
10.1016/j.polymertesting.2024.108607 | (NO TITLE) | failed
10.1016/j.porgcoat.2022.106784 | (NO TITLE) | failed
10.1016/j.progpolymsci.2015.07.003 | Recent advances in regenerated cellulose materials | untried
10.1016/j.reactfunctpolym.2023.105572 | (NO TITLE) | failed
10.1016/j.rser.2025.115914 | (NO TITLE) | failed
10.1016/j.sna.2023.114223 | (NO TITLE) | failed
10.1016/j.solener.2024.113099 | (NO TITLE) | failed
10.1016/j.susmat.2022.e00437 | (NO TITLE) | failed
10.1016/j.susmat.2025.e01234 | (NO TITLE) | failed
10.1021/acs.biomac.3c00152 | (NO TITLE) | untried
10.1021/acs.biomac.3c01011 | Ionic Conductive Cellulose-Based Hydrogels with Superior Long-Lasting Moisture and Antifreezing Features for Flexible Strain Sensor Applications. | failed
10.1021/acs.biomac.3c01385 | (NO TITLE) | untried
10.1021/acs.biomac.4c00496 | (NO TITLE) | untried
10.1021/acs.biomac.4c00578 | Single-Component Cellulose Acetate Sulfate Hydrogels for Direct Ink Writing 3D Printing. | failed
10.1021/acs.biomac.5c02331 | (NO TITLE) | untried
10.1021/acs.chemmater.2c01582 | (NO TITLE) | untried
10.1021/acs.chemmater.5c00474 | (NO TITLE) | untried
10.1021/acs.langmuir.4c02244 | Attapulgite-Reinforced Cellulose Hydrogels with High Conductivity and Antifreezing Property for Flexible Sensors. | failed
10.1021/acs.macromol.3c00967 | (NO TITLE) | untried
10.1021/acs.macromol.4c02431 | (NO TITLE) | untried
10.1021/acs.nanolett.2c00967 | (NO TITLE) | untried
10.1021/acsabm.3c00050 | (NO TITLE) | untried
10.1021/acsabm.4c01063 | (NO TITLE) | untried
10.1021/acsabm.4c01659 | (NO TITLE) | untried
10.1021/acsaelm.4c00799 | (NO TITLE) | failed
10.1021/acsaelm.5c01008 | (NO TITLE) | failed
10.1021/acsaem.5c01260 | (NO TITLE) | failed
10.1021/acsami.1c08395 | Self-Healing, Self-Adhesive Silk Fibroin Conductive Hydrogel as a Flexible Strain Sensor. | failed
10.1021/acsami.2c14157 | Highly Sensitive Zwitterionic Hydrogel Sensor for Motion and Pulse Detection with Water Retention, Adhesive, Antifreezing, and Self-Healing Properties. | failed
10.1021/acsami.2c21255 | (NO TITLE) | untried
10.1021/acsami.2c21617 | Rapid Preparation of Antifreezing Conductive Hydrogels for Flexible Strain Sensors and Supercapacitors. | failed
10.1021/acsami.2c22831 | (NO TITLE) | untried
10.1021/acsami.3c02279 | (NO TITLE) | untried
10.1021/acsami.3c05208 | Stretchable Organohydrogel with Adhesion, Self-Healing, and Environment-Tolerance for Wearable Strain Sensors. | failed
10.1021/acsami.4c08592 | Tough and Elastic Cellulose Composite Hydrogels/Films for Flexible Wearable Sensors. | failed
10.1021/acsami.4c08984 | Temperature-Tolerant Versatile Conductive Zwitterionic Nanocomposite Organohydrogel toward Multisensory Applications. | failed
10.1021/acsami.4c09185 | (NO TITLE) | untried
10.1021/acsami.4c13621 | Antifreezing/Antiswelling Hydrogels: Synthesis Strategies and Applications as Flexible Motion Sensors. | failed
10.1021/acsami.5c02326 | (NO TITLE) | untried
10.1021/acsami.5c24901 | (NO TITLE) | untried
10.1021/acsapm.2c00487 | (NO TITLE) | failed
10.1021/acsapm.3c00634 | (NO TITLE) | failed
10.1021/acsapm.3c01381 | (NO TITLE) | failed
10.1021/acsapm.5c00427 | (NO TITLE) | untried
10.1021/acsbiomaterials.4c00923 | (NO TITLE) | untried
10.1021/acsbiomaterials.5c00980 | (NO TITLE) | untried
10.1021/acsbiomaterials.5c02155 | (NO TITLE) | untried
10.1021/acsbiomedchemau.3c00001 | (NO TITLE) | untried
10.1021/acsmaterialsau.4c00138 | (NO TITLE) | untried
10.1021/acsnano.3c11578 | Tough, Antifreezing, and Piezoelectric Organohydrogel as a Flexible Wearable Sensor for Human-Machine Interaction. | failed
10.1021/acsnanomed.5c00204 | (NO TITLE) | untried
10.1021/acsomega.5c04153 | (NO TITLE) | untried
10.1021/acsomega.5c10568 | (NO TITLE) | untried
10.1021/acsomega.5c11007 | (NO TITLE) | untried
10.1021/acspolymersau.5c00053 | (NO TITLE) | untried
10.1021/acssuschemeng.3c02175 | High-Efficiency and Recyclable Green Molten Salt Hydrate Solvent for Cellulose Hydrogels with High Conductivity and Freeze Tolerance | untried
10.1021/acssuschemeng.3c07949 | (NO TITLE) | failed
10.1021/acssuschemeng.4c04198 | (NO TITLE) | untried
10.1021/bk-2024-1469.ch011 | (NO TITLE) | untried
