priority,score,doi,year,journal,reading_depth,candidate_categories,strategy,application,cellulose_type,lowest_neg_temp,reports_cond_value,reports_mech_value,reports_GF_value,reports_heal_value,reports_adh_value,mentions_anti_drying,mentions_sustainability,local_file,note_length,next_action,reasons,local_title
A,89,10.1021/acsami.2c21617,2023,ACS applied materials & interfaces,R2,Network_Dynamic;Energy,DN,Sensor+Energy,CMC,-23,NO,YES,YES,NO,NO,NO,NO,10.1021_acsami.2c21617.md,5019,Promote to R1 full-text verification,cellulose;claim;temp_value;subzero;nonmech_metric;any_metric;2_reported_metrics;rich_note,Rapid Preparation of Antifreezing Conductive Hydrogels for Flexible Strain Sensors and Supercapacitors.
A,88,10.1016/j.ijbiomac.2023.126550,2023,,R2,Salt;Network_Dynamic,Salt+DN+PAA,General,Regen,-45,YES,NO,NO,NO,NO,NO,YES,10.1016_j.ijbiomac.2023.126550.md,5550,Promote to R1 full-text verification,cellulose;claim;temp_value;subzero;nonmech_metric;any_metric;1_reported_metrics;rich_note,"Compressible, anti-freezing, and ionic conductive cellulose/polyacrylic acid composite hydrogel prepared via AlCl3/ZnCl2 aqueous system as solvent and catalyst."
A,87,10.1016/j.carbpol.2025.124312,2025,,R2,Organohydrogel,Org-H+PVA,Sensor,Unspecified,-18,NO,YES,YES,NO,NO,YES,NO,10.1016_j.carbpol.2025.124312.md,6199,Promote to R1 full-text verification,cellulose;claim;temp_value;subzero;nonmech_metric;any_metric;2_reported_metrics;rich_note,Anti-freezing and robust Ag-MOFs@PVA/XG hydrogel for flexible sensing and robotic state monitoring.
A,87,10.1016/j.ijbiomac.2025.149374,2025,,R2,Biomedical,PAM,Sensor+Biomedical,CMC,-20,YES,YES,YES,NO,NO,YES,YES,10.1016_j.ijbiomac.2025.149374.md,6611,Promote to R1 full-text verification,cellulose;claim;temp_value;subzero;nonmech_metric;any_metric;3_reported_metrics;rich_note,"Mechanically resilient, freeze-resistant, and antibacterial carboxymethyl cellulose/phytic acid hydrogel sensors for respiratory monitoring."
B,84,10.1016/j.ijbiomac.2024.131115,?,,R1,DES_IL;Network_Dynamic,DES+PhotoPoly,Sensor,Unspecified,,NO,YES,NO,NO,YES,NO,NO,10.1016_j.ijbiomac.2024.131115.md,7997,Use as R2 support; deep-read if category lacks A candidates,cellulose;existing_R1;claim;nonmech_metric;any_metric;2_reported_metrics;rich_note,Cellulose-reinforced highly stretchable and adhesive eutectogels as efficient sensors.
B,84,10.1016/j.jcis.2024.05.102,2024,Journal of colloid and interface science,R2,Network_Dynamic;Energy,PAM,Energy,Regen,-45,YES,NO,NO,NO,NO,YES,YES,10.1016_j.jcis.2024.05.102.md,5178,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;subzero;nonmech_metric;any_metric;1_reported_metrics;rich_note,Aqueous AlCl3/ZnCl2 solution room-induced the self-growing strategy of expanded topological network for cellulose/polyacrylamide-based solid-state electrolytes.
B,84,10.1021/acsami.3c05208,2023,,R2,DES_IL;Organohydrogel;Network_Dynamic,DES+Org-H+DN+Gelatin,Sensor,Unspecified,-20,NO,YES,NO,NO,NO,NO,YES,10.1021_acsami.3c05208.md,5674,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;subzero;any_metric;1_reported_metrics;rich_note,"Stretchable Organohydrogel with Adhesion, Self-Healing, and Environment-Tolerance for Wearable Strain Sensors."
B,83,10.1016/j.ijbiomac.2023.127396,2023,International journal of biological macromolecules,R2,Network_Dynamic;Nanocellulose,Unclear,Sensor+Actuator,CNF+Modified,,NO,YES,NO,YES,YES,NO,NO,10.1016_j.ijbiomac.2023.127396.md,5270,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;nonmech_metric;any_metric;3_reported_metrics;rich_note,Low-temperature strain-sensitive sensor based on cellulose-based ionic conductive hydrogels with moldable and self-healing properties.
B,83,10.1016/j.carbpol.2024.123136,2024,,R2,Salt;Network_Dynamic;Biomedical,Salt+Chitin/CS+PVA,Sensor+Biomedical,Unspecified,,NO,YES,NO,YES,NO,NO,YES,10.1016_j.carbpol.2024.123136.md,6405,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;nonmech_metric;any_metric;2_reported_metrics;rich_note,An antimicrobial and adhesive conductive chitosan quaternary ammonium salt hydrogel dressing for combined electrical stimulation and photothermal treatment to promote wound healing.
B,83,10.1016/j.ijbiomac.2024.131118,2024,,R2,Network_Dynamic;Nanocellulose,DN+NanoCell+PVA,Sensor+Actuator,Unspecified,,YES,YES,YES,NO,NO,NO,NO,10.1016_j.ijbiomac.2024.131118.md,5251,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;nonmech_metric;any_metric;3_reported_metrics;rich_note,Anti-freezing hydrogel regulated by ice-structuring proteins/cellulose nanofibers system as flexible sensor for winter sports.
B,81,10.1016/j.carbpol.2022.119199,2022,,R2,Organohydrogel;Salt;Nanocellulose,Org-H+DMSO+NanoCell+PVA,Sensor,Unspecified,-50,NO,YES,NO,NO,NO,NO,NO,10.1016_j.carbpol.2022.119199.md,6147,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;subzero;any_metric;1_reported_metrics;rich_note,"An environmentally tolerant, highly stable, cellulose nanofiber-reinforced, conductive hydrogel multifunctional sensor."
B,81,10.1021/acsami.2c14157,2022,,R2,Salt;Network_Dynamic,DynamicBond+PVA,Sensor,Unspecified,,YES,NO,NO,YES,NO,YES,YES,10.1021_acsami.2c14157.md,5049,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;nonmech_metric;any_metric;2_reported_metrics;rich_note,"Highly Sensitive Zwitterionic Hydrogel Sensor for Motion and Pulse Detection with Water Retention, Adhesive, Antifreezing, and Self-Healing Properties."
B,81,10.1080/10584587.2023.2227051,2023,,R2,Organohydrogel;Salt;Nanocellulose,Salt+Org-H+NanoCell+PVA,Sensor,Unspecified,-20,NO,YES,NO,NO,NO,YES,YES,10.1080_10584587.2023.2227051.md,5678,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;subzero;any_metric;1_reported_metrics;rich_note,Preparation and Properties of Multifunctional Nanocellulose-Reinforced PVA Ionic Hydrogel
B,81,10.1002/sus2.249,2024,,R2,DES_IL;Salt;Network_Dynamic;Biomedical,DES+DynamicBond,Sensor+Biomedical,Regen,,NO,YES,NO,YES,NO,YES,NO,10.1002_sus2.249.md,5788,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;nonmech_metric;any_metric;2_reported_metrics;rich_note,"Poly(ionic liquid) functionalization: A general strategy for strong, tough, ionic conductive, and multifunctional polysaccharide hydrogels toward sensors"
B,81,10.3390/polym17233102,2025,,R2,Salt;Network_Dynamic,Salt+DN+PAM,Sensor,Unspecified,,YES,YES,YES,NO,NO,NO,NO,10.3390_polym17233102.md,4891,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;nonmech_metric;any_metric;3_reported_metrics;usable_note,An Anti-Freezing Ionic Conductive Hydrogel for Strain Sensing and Energy Harvesting Devices
B,80,10.1016/j.carbpol.2021.118078,2021,,R2,DES_IL;Organohydrogel;Salt,DES+Org-H,Sensor+TENG,Unspecified,,YES,YES,NO,NO,NO,NO,YES,10.1016_j.carbpol.2021.118078.md,5918,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;nonmech_metric;any_metric;2_reported_metrics;rich_note,"Transparent, conductive cellulose hydrogel for flexible sensor and triboelectric nanogenerator at subzero temperature."
B,80,10.1016/j.ijbiomac.2022.03.025,2022,,R2,DES_IL;Organohydrogel;Salt;Network_Dynamic,Salt+DES+Org-H+Chitin/CS+PAM,General,Unspecified,-80,NO,NO,NO,NO,NO,YES,YES,10.1016_j.ijbiomac.2022.03.025.md,5321,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;subzero;rich_note,Chitin/Ca solvent-based conductive and stretchable organohydrogel with anti-freezing and anti-drying.
B,80,10.1016/j.ijbiomac.2023.123936,2023,,R2,Other,PAM,Sensor+Agricultural,Unspecified,-70,YES,YES,NO,NO,NO,NO,YES,10.1016_j.ijbiomac.2023.123936.md,6606,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;subzero;nonmech_metric;any_metric;2_reported_metrics;rich_note,"High strength, anti-freezing and conductive silkworm excrement cellulose-based ionic hydrogel with physical-chemical double cross-linked for pressure sensing."
B,80,10.1002/smll.202409365,2024,,R2,DES_IL;Network_Dynamic;Energy,DES+PAM,Sensor+Energy,Unspecified,,NO,NO,NO,YES,NO,YES,YES,10.1002_smll.202409365.md,5797,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;nonmech_metric;any_metric;1_reported_metrics;rich_note,Self-Healing and Antifreezing/Antidrying Conductive Eutectohydrogel-Based Biosignal Monitoring Multisensors with Integrated Supercapacitor.
B,74,10.1016/j.carbpol.2024.122406,2024,,R2,Network_Dynamic,DN+PAM,Sensor,Unspecified,,NO,YES,YES,NO,NO,YES,YES,10.1016_j.carbpol.2024.122406.md,5417,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;nonmech_metric;any_metric;2_reported_metrics;rich_note,"Wide-humidity, anti-freezing and stretchable multifunctional conductive carboxymethyl cellulose-based hydrogels for flexible wearable strain sensors and arrays."
B,73,10.1016/j.carbpol.2024.122472,2024,Carbohydrate polymers,R2,Salt;Energy,Unclear,Sensor+Energy,Regen,-60,NO,YES,NO,NO,NO,NO,YES,10.1016_j.carbpol.2024.122472.md,6436,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;subzero;any_metric;1_reported_metrics;rich_note,"Strong, tough, and freeze-tolerant all-natural cellulose-based ionic conductor enabled by multiscale cellulose networks."
B,71,10.1016/j.ijbiomac.2023.123425,2023,,R2,Salt;Network_Dynamic,Salt+DN,Sensor,Regen,,YES,YES,NO,NO,NO,NO,NO,10.1016_j.ijbiomac.2023.123425.md,5822,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;nonmech_metric;any_metric;2_reported_metrics;rich_note,Highly conductive and anti-freezing cellulose hydrogel for flexible sensors.
B,71,10.1016/j.ijbiomac.2025.148851,2025,,R2,DES_IL;Network_Dynamic;Nanocellulose;Biomedical,DES+DN+NanoCell+Chitin/CS,Sensor+Biomedical,Unspecified,,NO,YES,NO,NO,NO,NO,YES,10.1016_j.ijbiomac.2025.148851.md,6237,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;any_metric;1_reported_metrics;rich_note,Cellulose nanofiber-reinforced chitosan conductive hydrogel tailored by double-network strategy for stretchable strain sensor.
B,70,10.1016/j.carbpol.2024.122936,2024,Carbohydrate polymers,R2,Salt,Salt,Sensor,Unspecified,-80,NO,YES,NO,NO,NO,YES,NO,10.1016_j.carbpol.2024.122936.md,5228,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;subzero;any_metric;1_reported_metrics;rich_note,"A flexible, antifreezing, and long-term stable cellulose ionic conductive hydrogel via one-step preparation for flexible electronic sensors."
B,70,10.1016/j.carbpol.2024.122497,2024,,R2,Salt,PhotoPoly,Sensor+Encryption,Unspecified,-75,NO,YES,NO,NO,NO,NO,NO,10.1016_j.carbpol.2024.122497.md,5283,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;subzero;any_metric;1_reported_metrics;rich_note,"Tunable thermoresponsive and stretchable hydrogel sensor based on hydroxypropyl cellulose for human motion/health detection, visual signal transmission and information encryption."
B,70,10.1016/j.ijbiomac.2026.150776,2026,,R2,Network_Dynamic;Nanocellulose;Biomedical,PVA,Sensor+Biomedical,CNF,,NO,YES,YES,NO,NO,NO,NO,10.1016_j.ijbiomac.2026.150776.md,5231,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;nonmech_metric;any_metric;2_reported_metrics;rich_note,Polydopamine-functionalized cellulose nanofibrils with Ag deposition for robust poly(vinyl alcohol) hydrogel strain sensor.
B,69,10.1016/j.jcis.2024.02.002,2024,Journal of colloid and interface science,R2,Organohydrogel;Nanocellulose,Org-H+NanoCell+PVA,General,Unspecified,-70,NO,YES,NO,NO,NO,NO,NO,10.1016_j.jcis.2024.02.002.md,3997,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;subzero;any_metric;1_reported_metrics;usable_note,Frost-resistant nanocellulose-based organohydrogel with high mechanical strength and transparency.
B,69,10.1016/j.cej.2020.125341,2020,,R2,Network_Dynamic,Lignin,Coating,Unspecified,,NO,YES,NO,YES,YES,NO,NO,10.1016_j.cej.2020.125341.md,6022,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;nonmech_metric;any_metric;3_reported_metrics;rich_note,"Ultrafast gelling using sulfonated lignin-Fe3+ chelates to produce dynamic crosslinked hydrogel/coating with charming stretchable, conductive, self-healing, and ultraviolet-blocking properties"
B,69,10.1016/j.ijbiomac.2024.135947,2024,,R2,Network_Dynamic,Unclear,Sensor,BC,,YES,YES,NO,YES,NO,NO,YES,10.1016_j.ijbiomac.2024.135947.md,6046,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;nonmech_metric;any_metric;3_reported_metrics;rich_note,"Notch-insensitive, tough and self-healing conductive bacterial cellulose nanocomposite hydrogel for flexible wearable strain sensor."
B,68,10.1007/s10570-021-03782-1,2021,,R2,Network_Dynamic;Nanocellulose,NanoCell+PAA,Sensor,Unspecified,,YES,YES,NO,YES,NO,NO,NO,10.1007_s10570-021-03782-1.md,4949,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;nonmech_metric;any_metric;3_reported_metrics;usable_note,"Highly viscoelastic, stretchable, conductive, and self-healing strain sensors based on cellulose nanofiber-reinforced polyacrylic acid hydrogel"
B,68,10.1016/j.ijbiomac.2022.11.014,2022,,R2,Network_Dynamic;Nanocellulose,NanoCell+PVA,Sensor,Unspecified,,NO,YES,NO,YES,NO,NO,YES,10.1016_j.ijbiomac.2022.11.014.md,5901,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;nonmech_metric;any_metric;2_reported_metrics;rich_note,"Highly stretchable, self-healing, and degradable ionic conductive cellulose hydrogel for human motion monitoring."
B,67,10.1021/acs.biomac.3c01011,2024,Biomacromolecules,R2,Organohydrogel;Salt;Network_Dynamic,Org-H,Sensor,HEC,-40,NO,NO,NO,NO,NO,NO,NO,10.1021_acs.biomac.3c01011.md,4632,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;subzero;usable_note,Ionic Conductive Cellulose-Based Hydrogels with Superior Long-Lasting Moisture and Antifreezing Features for Flexible Strain Sensor Applications.
B,67,10.1016/j.carbpol.2023.120567,2023,,R2,Nanocellulose,NanoCell+PAM,Sensor,CNF,-40,NO,YES,NO,NO,NO,NO,NO,10.1016_j.carbpol.2023.120567.md,5472,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;subzero;any_metric;1_reported_metrics;rich_note,"Strong, conductive, and freezing-tolerant polyacrylamide/PEDOT:PSS/cellulose nanofibrils hydrogels for wearable strain sensors."
B,66,10.1016/j.ijbiomac.2025.143914,2025,International journal of biological macromolecules,R2,DES_IL,DES,Sensor,Unspecified,,YES,YES,NO,NO,NO,NO,NO,10.1016_j.ijbiomac.2025.143914.md,5151,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;nonmech_metric;any_metric;2_reported_metrics;rich_note,Fully enhances the performance of eutectic hydrogels in the field of flexible sensors by cellulose.
B,66,10.1016/j.ijbiomac.2024.136439,2024,,R2,DES_IL;Network_Dynamic,DES+DN+Lignin+Chitin/CS,Sensor,Unspecified,-25,NO,NO,NO,NO,NO,NO,YES,10.1016_j.ijbiomac.2024.136439.md,5942,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;subzero;rich_note,"Sustainable, temperature-tolerant, dual network conductive pressure sensitive adhesive from cellulose and rosin for wearable sensing."
B,66,10.1038/ncomms15911,2017,,R2,Organohydrogel;Salt,Org-H,General,Unspecified,-78,NO,NO,NO,NO,NO,NO,YES,10.1038_ncomms15911.md,5422,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;subzero;rich_note,Adaptive and freeze-tolerant heteronetwork organohydrogels with enhanced mechanical stability over a wide temperature range
B,65,10.1088/1757-899x/223/1/012052,2017,,R2,Salt,Unclear,General,Regen,,YES,YES,NO,NO,NO,NO,NO,10.1088_1757-899x_223_1_012052.md,6565,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;nonmech_metric;any_metric;2_reported_metrics;rich_note,Mechanical strength and ionic conductivity of polymer electrolyte membranes prepared from cellulose acetate-lithium perchlorate
B,65,10.1016/j.ijbiomac.2023.126693,2023,,R2,Biomedical,Unclear,Biomedical,Regen,,NO,NO,NO,YES,NO,NO,YES,10.1016_j.ijbiomac.2023.126693.md,5596,Use as R2 support; deep-read if category lacks A candidates,cellulose;claim;temp_value;nonmech_metric;any_metric;1_reported_metrics;rich_note,A dual pH- and temperature-responsive hydrogel produced in situ crosslinking of cyclodextrin-cellulose for wound healing.
C,64,10.1021/acs.langmuir.4c02244,2024,Langmuir : the ACS journal of surfaces and colloid,R2,Network_Dynamic,DN,Sensor,Unspecified,,YES,YES,NO,NO,NO,NO,NO,10.1021_acs.langmuir.4c02244.md,5461,Background/statistical pool only,cellulose;claim;nonmech_metric;any_metric;2_reported_metrics;rich_note,Attapulgite-Reinforced Cellulose Hydrogels with High Conductivity and Antifreezing Property for Flexible Sensors.
C,64,10.1016/j.bios.2023.115893,2023,,R2,Network_Dynamic,Unclear,Sensor+Encryption,CMC,,NO,YES,YES,NO,NO,NO,NO,10.1016_j.bios.2023.115893.md,5619,Background/statistical pool only,cellulose;claim;nonmech_metric;any_metric;2_reported_metrics;rich_note,"A temperature and pressure dual-responsive, stretchable, healable, adhesive, and biocompatible carboxymethyl cellulose-based conductive hydrogels for flexible wearable strain sensor."
C,63,10.1038/s41467-022-30224-8,2022,,R2,Other,Unclear,Sensor,Unspecified,-20,NO,YES,NO,NO,NO,NO,YES,10.1038_s41467-022-30224-8.md,5175,Background/statistical pool only,cellulose;claim;temp_value;subzero;any_metric;1_reported_metrics;rich_note,"Strong, tough, ionic conductive, and freezing-tolerant all-natural hydrogel enabled by cellulose-bentonite coordination interactions"
C,62,10.1039/d0ta04360e,2020,,R2,Salt;Energy,Unclear,Energy,Unspecified,-40,NO,NO,NO,NO,NO,NO,YES,10.1039_d0ta04360e.md,5966,Background/statistical pool only,cellulose;claim;temp_value;subzero;rich_note,Zinc ion trapping in a cellulose hydrogel as a solid electrolyte for a safe and flexible supercapacitor
C,62,10.1021/acsami.4c08984,2024,,R2,Organohydrogel;Nanocellulose,Org-H+NanoCell,Sensor,Unspecified,,NO,YES,NO,NO,NO,YES,YES,10.1021_acsami.4c08984.md,5897,Background/statistical pool only,cellulose;claim;temp_value;any_metric;1_reported_metrics;rich_note,Temperature-Tolerant Versatile Conductive Zwitterionic Nanocomposite Organohydrogel toward Multisensory Applications.
C,61,10.1002/anie.201902578,2019,Angewandte Chemie,R2,Organohydrogel;Salt,Salt+Org-H,General,Regen,-70,NO,NO,NO,NO,NO,NO,NO,10.1002_anie.201902578.md,3400,Background/statistical pool only,cellulose;claim;temp_value;subzero;usable_note,Inorganic Salts Induce Thermally Reversible and Anti-Freezing Cellulose Hydrogels.
C,59,10.1002/smll.202405826,2024,,R2,Network_Dynamic;Nanocellulose;Biomedical,NanoCell,Biomedical,CNC,-60,NO,NO,NO,NO,NO,NO,NO,10.1002_smll.202405826.md,4990,Background/statistical pool only,cellulose;claim;temp_value;subzero;usable_note,Silver Nanoparticle-Decorated Cellulose Nanocrystal Reinforced Ionic Polymer Hydrogel With High Conductivity and Environmental Tolerance for Multifunctional Sensing and Emergency Alarm System.
C,59,10.1021/acsnano.3c11578,2024,,R2,Organohydrogel,Org-H,Sensor,Unspecified,-20,NO,NO,NO,NO,NO,NO,NO,10.1021_acsnano.3c11578.md,5020,Background/statistical pool only,cellulose;claim;temp_value;subzero;rich_note,"Tough, Antifreezing, and Piezoelectric Organohydrogel as a Flexible Wearable Sensor for Human-Machine Interaction."
C,55,10.1016/j.carbpol.2024.122552,2024,,R2,Energy,PAA,Sensor+Energy+Actuator+TENG,Unspecified,-60,NO,NO,NO,NO,NO,NO,NO,10.1016_j.carbpol.2024.122552.md,6893,Background/statistical pool only,cellulose;claim;temp_value;subzero;rich_note,Tough and temperature-tolerance cellulose/polyacrylic acid/bentonite hydrogel with high ionic conductivity enables self-powered triboelectric wearable electronic devices.
C,55,10.3390/gels11010038,2025,,R2,Biomedical,Gelatin,Biomedical,CMC,,NO,NO,NO,YES,NO,NO,YES,10.3390_gels11010038.md,5907,Background/statistical pool only,cellulose;claim;nonmech_metric;any_metric;1_reported_metrics;rich_note,Evaluation of Carboxymethyl Cellulose/Gelatin Hydrogel-Based Dressing Containing Cefdinir for Wound Healing Promotion in Animal Model
C,53,10.1021/acsami.1c08395,2021,,R2,Network_Dynamic;Nanocellulose;Biomedical,NanoCell+PVA,Sensor+Biomedical,Unspecified,,NO,YES,NO,NO,NO,NO,YES,10.1021_acsami.1c08395.md,6880,Background/statistical pool only,cellulose;claim;any_metric;1_reported_metrics;rich_note,"Self-Healing, Self-Adhesive Silk Fibroin Conductive Hydrogel as a Flexible Strain Sensor."
C,53,10.1063/1674-0068/cjcp2106104,2022,,R2,Other,PAA,Sensor+Coating,CMC,,YES,YES,NO,NO,NO,NO,NO,10.1063_1674-0068_cjcp2106104.md,4891,Background/statistical pool only,cellulose;claim;nonmech_metric;any_metric;2_reported_metrics;usable_note,Water-resistant and stretchable conductive ionic hydrogel fibers reinforced by carboxymethyl cellulose
C,53,10.1016/j.jcis.2024.08.119,2024,,R2,Organohydrogel;Network_Dynamic,Org-H+DN,General,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.1016_j.jcis.2024.08.119.md,5559,Background/statistical pool only,cellulose;claim;temp_value;rich_note,Dual-network hydrogel capsules for controlled molecular transport via pH and temperature responsiveness.
C,52,10.3139/146.111938,2020,,R2,Other,Unclear,Actuator,Unspecified,-196,NO,NO,NO,NO,NO,NO,NO,10.3139_146.111938.md,5342,Background/statistical pool only,cellulose;claim;temp_value;subzero;rich_note,Investigation on microstructural and mechanical properties of sub-zero processed AISI 440C steel
C,52,10.3901/jme.2020.24.190,2020,,R2,Other,Unclear,General,Unspecified,-50,NO,NO,NO,NO,NO,NO,NO,10.3901_jme.2020.24.190.md,5527,Background/statistical pool only,cellulose;claim;temp_value;subzero;rich_note,Wide Temperature Range Experimental Study into the Fluid Mechanics of Hydraulic Orifices
