doi,year,journal,reading_depth,cellulose_type,arch_layer,solvent_layer,network_layer,strategy,application,mentions_temp_value,has_negative_temp,lowest_neg_temp,mentions_conductivity,reports_cond_value,mentions_mechanics,reports_mech_value,mentions_GF,reports_GF_value,mentions_self_healing,reports_heal_value,mentions_adhesion,reports_adh_value,mentions_anti_drying,mentions_sustainability,mentions_transparency,claims_wide_temperature,any_func_nonmech,any_func_all,has_cellulose
10.1016/j.ijbiomac.2023.129068,2023,International journal of biological macromolecules,R2,Modified,Modified|Starch|PAM,Org_polyol,DynamicBond|SelfHeal,Org-H+Starch+DynamicBond+PAM,Sensor+Actuator,YES,YES,-30,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES
10.1016/j.ijbiomac.2023.129081,2023,International journal of biological macromolecules,R2,Modified,NanoCell_CNF|Modified,None,DynamicBond,NanoCell+DynamicBond,Environmental,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.1016/j.ijbiomac.2024.130732,2024,International journal of biological macromolecules,R2,Unspecified,Cellulose_unspec,None,Adhesive,NanoCell,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES
10.1016/j.ijbiomac.2024.131115,?,,R1,Unspecified,Cellulose_unspec,DES_IL,PhotoPoly|SelfHeal|Adhesive,DES+PhotoPoly,Sensor,NO,NO,,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES
10.1016/j.ijbiomac.2024.131129,?,,R1,Regen,Regen,DES_IL,None,DES+NanoCell,Sensor+Actuator,YES,YES,-80,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES
10.1016/j.ijbiomac.2024.132912,2024,International journal of biological macromolecules,R2,Regen,Regen,Salt,None,Unclear,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
10.1016/j.ijbiomac.2024.137911,2024,International journal of biological macromolecules,R2,Unspecified,Cellulose_unspec,None,PhotoPoly,PhotoPoly,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.1016/j.ijbiomac.2024.138188,2024,International journal of biological macromolecules,R2,CNC+Modified,NanoCell_CNC|Modified|Lignin|PVA|PAA,DES_IL,DN_IPN|SelfHeal,DES+DN+NanoCell+Lignin+PVA+PAA,Sensor+Agricultural,NO,NO,,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.1016/j.ijbiomac.2025.141174,2025,International journal of biological macromolecules,R2,Unspecified,Cellulose_unspec,None,Adhesive,NanoCell,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES
10.1016/j.ijbiomac.2025.141443,2025,International journal of biological macromolecules,R2,Unspecified,Starch,None,None,Starch,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.1016/j.ijbiomac.2025.143914,2025,International journal of biological macromolecules,R2,Unspecified,Cellulose_unspec,DES_IL,None,DES,Sensor,NO,NO,,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
10.1016/j.ijpharm.2022.121750,2022,International journal of pharmaceutics,R2,CMC,CMC,None,Adhesive,Unclear,Biomedical+Environmental,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES
10.1016/j.jcis.2024.02.002,2024,Journal of colloid and interface science,R2,Unspecified,PVA,Org_polyol,None,Org-H+NanoCell+PVA,General,YES,YES,-70,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES
10.1016/j.jcis.2024.05.102,2024,Journal of colloid and interface science,R2,Regen,Regen|PAM,None,Adhesive,PAM,Energy,YES,YES,-45,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES
10.1016/j.jcis.2024.10.070,2024,Journal of colloid and interface science,R2,None,None,DES_IL,Adhesive,DES,Sensor,YES,YES,-60,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,YES,NO
10.1021/acs.biomac.3c00596,2023,Biomacromolecules,R2,CNF,NanoCell_CNF|Modified,None,None,Unclear,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
10.1021/acs.biomac.3c01011,2024,Biomacromolecules,R2,HEC,HEC,Salt|Org_polyol,Adhesive,Org-H,Sensor,YES,YES,-40,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES
10.1021/acs.biomac.4c00578,2024,Biomacromolecules,R2,Unspecified,Cellulose_unspec,None,None,Unclear,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
10.1021/acs.chemrev.2c00492,2023,Chemical Reviews,R2,Unspecified,Lignin,None,None,NanoCell+Lignin,General,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
10.1021/acs.langmuir.4c02244,2024,Langmuir : the ACS journal of surfaces and colloid,R2,Unspecified,Cellulose_unspec,None,DN_IPN,DN,Sensor,NO,NO,,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
10.1021/acsami.2c21617,2023,ACS applied materials & interfaces,R2,CMC,CMC,None,DN_IPN|SelfHeal,DN,Sensor+Energy,YES,YES,-23,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
10.1021/acsami.4c08592,2024,ACS applied materials & interfaces,R2,Regen,Regen,Salt,DN_IPN,DN,Sensor,NO,NO,,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES
10.1021/acsami.4c13621,2024,ACS applied materials & interfaces,R2,None,None,None,Adhesive,Unclear,Sensor,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO
10.1038/s41524-023-01161-x,2023,npj Computational Materials,R2,None,None,None,DN_IPN,DN,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
10.1088/1748-605X/acd49a,2023,Biomedical Materials,R2,Modified,NanoCell_CNF|Modified|Chitin_CS,Salt,None,NanoCell+Chitin/CS,Energy+Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
10.1093/nsr/nwaf541,2025,National Science Review,R2,None,None,None,SelfHeal,Unclear,Sensor+Energy,NO,NO,,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
10.3390/gels10010001,2023,Gels,R2,Unspecified,Lignin,DES_IL|Org_polyol,None,DES+Org-H+NanoCell+Lignin,Biomedical+Agricultural,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
10.3390/gels10120842,2024,Gels,R2,Unspecified,Cellulose_unspec,None,None,Unclear,General,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
10.3390/gels9070546,2023,Gels,R2,Regen,Regen,DES_IL,None,DES,General,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
10.3390/nano13050853,2023,Nanomaterials,R2,CNF+CNC,NanoCell_CNF|NanoCell_CNC|PAM,None,None,NanoCell+PAM,Biomedical,NO,NO,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES
10.3390/nano14201645,2024,Nanomaterials,R2,Unspecified,Cellulose_unspec,None,SelfHeal,Unclear,Energy+Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.3390/polym16040530,2024,Polymers,R2,Unspecified,Modified,None,None,Unclear,General,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES
10.3390/polym16070971,2024,Polymers,R2,None,None,None,None,Unclear,Sensor+Biomedical+Actuator,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO
10.3390/polym16172506,2024,Polymers,R2,None,None,None,None,Unclear,Energy,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
10.1002/adfm.200305197,2004,Advanced Functional Materials [原文]「JOURNAL: Advanc,R2,BC,BC|Gelatin,None,DN_IPN,DN+Gelatin,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.1115/1.4000858,2010,,R2,BC,BC|Gelatin,None,Adhesive,Gelatin,Biomedical+Agricultural,NO,NO,,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,YES,YES
10.17576/jsm-2015-4406-04,2015,,R2,CNC,NanoCell_CNC|Gelatin,None,None,NanoCell+Gelatin,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.1155/2015/963436,2015,,R2,Unspecified,Cellulose_unspec,None,SelfHeal,NanoCell,General,NO,NO,,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES
10.24200/sci.2017.4285,2017,,R2,Unspecified,Cellulose_unspec,None,None,Unclear,General,YES,YES,-146,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1088/1757-899x/223/1/012052,2017,,R2,Regen,Regen,Salt,None,Unclear,General,NO,NO,,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
10.1016/j.carbpol.2018.08.054,2018,,R2,BC,BC,None,None,Unclear,Sensor,NO,NO,,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1016/j.eurpolymj.2018.02.013,?,,R2,None,None,None,None,Unclear,General,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
10.1016/j.carbpol.2019.115084,2019,,R2,CNC,NanoCell_CNC,Org_polyol,DynamicBond|SelfHeal,Org-H+NanoCell+DynamicBond,Sensor+Energy+Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.1002/anie.201902578,2019,Angewandte Chemie,R2,Regen,Regen,Salt|Org_polyol,None,Salt+Org-H,General,YES,YES,-70,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1002/admt.202000358,2020,Advanced Materials Technologies,R2,Unspecified,Cellulose_unspec,None,None,Unclear,Sensor+Actuator,NO,NO,,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
10.1016/j.matlet.2020.128340,2020,,R2,Unspecified,NanoCell_CNF|Gelatin,None,None,NanoCell+Gelatin,Biomedical+Agricultural,NO,NO,,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1002/app.48564,2020,Journal of Applied Polymer Science,R2,CNF,NanoCell_CNF,None,None,NanoCell,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.1016/j.compositesb.2020.108246,?,,R2,None,None,None,None,Unclear,General,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
10.3139/146.111938,2020,,R2,Unspecified,Cellulose_unspec,None,None,Unclear,Actuator,YES,YES,-196,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1016/j.tws.2020.106842,2020,,R2,Unspecified,Cellulose_unspec,None,None,Unclear,General,YES,YES,-100,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1016/j.cej.2020.125341,2020,,R2,Unspecified,Lignin,None,SelfHeal|Adhesive,Lignin,Coating,NO,NO,,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES
10.3901/jme.2020.24.190,2020,,R2,Unspecified,Cellulose_unspec,None,None,Unclear,General,YES,YES,-50,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1039/d0ta04360e,2020,,R2,Unspecified,Cellulose_unspec,Salt,None,Unclear,Energy,YES,YES,-40,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.1016/j.ijbiomac.2021.02.104,?,,R2,None,None,None,None,Unclear,General,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
10.1016/j.ijbiomac.2021.09.075,2021,,R2,Modified,NanoCell_CNF|Modified,Salt,None,NanoCell,Agricultural,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES
10.1039/d1ta06468a,2021,,R2,Unspecified,Cellulose_unspec,None,None,Unclear,Environmental,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1016/j.eurpolymj.2021.110565,?,,R2,None,None,None,None,Unclear,General,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
10.1007/s10570-021-04067-3,2021,,R2,Unspecified,Cellulose_unspec,None,None,Unclear,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.1016/j.eurpolymj.2020.110258,?,,R2,None,None,None,None,Unclear,General,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
10.1007/s10570-021-03782-1,2021,,R2,Unspecified,PAA,None,SelfHeal,NanoCell+PAA,Sensor,NO,NO,,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES
10.1016/j.carbpol.2020.117233,2021,,R2,Unspecified,Cellulose_unspec,None,None,NanoCell,General,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1051/matecconf/202134700014,2021,,R2,CNC,NanoCell_CNC|Gelatin,None,None,NanoCell+Gelatin,Environmental+Actuator,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1016/j.carbpol.2021.117671,2021,,R2,BC,BC,None,None,Unclear,Biomedical,NO,NO,,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1016/j.carbpol.2021.117665,2021,,R2,HEC,HEC,None,None,Unclear,Sensor+Biomedical,NO,NO,,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES
10.1021/acsami.1c08395,2021,,R2,Unspecified,PVA,None,SelfHeal|Adhesive,NanoCell+PVA,Sensor+Biomedical,NO,NO,,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,YES,NO,YES,YES
10.1007/s10570-021-04052-w,2021,,R2,Regen+Modified,Regen|Modified,None,None,Unclear,Environmental,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1016/j.carbpol.2021.118078,2021,,R2,Unspecified,Cellulose_unspec,Salt|DES_IL|Org_polyol,None,DES+Org-H,Sensor+TENG,NO,NO,,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES
10.1016/j.ijbiomac.2022.06.011,2022,,R2,Unspecified,Starch|PVA,Salt|DES_IL,DN_IPN,Salt+DES+DN+Starch+PVA,Sensor+Biomedical,YES,YES,-40,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
10.1016/j.carbpol.2022.119199,2022,,R2,Unspecified,NanoCell_CNF|PVA,Salt|Org_polyol|DMSO,None,Org-H+DMSO+NanoCell+PVA,Sensor,YES,YES,-50,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES
10.1016/j.carbpol.2021.119005,2021,,R2,CNC,NanoCell_CNC|PAM,Org_polyol,PhotoPoly,Org-H+NanoCell+PhotoPoly+PAM,Encryption,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES
10.1002/cssc.202200399,2022,ChemSusChem,R2,Unspecified,Cellulose_unspec,None,None,Unclear,Actuator,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.1016/j.ijbiomac.2022.03.025,2022,,R2,Unspecified,Chitin_CS|PAM,Salt|DES_IL|Org_polyol,SelfHeal|Adhesive,Salt+DES+Org-H+Chitin/CS+PAM,General,YES,YES,-80,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES
10.1039/d2ta06835d,2022,,R2,Regen,Regen|Lignin,None,None,Lignin,Sensor+Energy+Environmental,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1016/j.carbpol.2021.118925,2021,,R2,Regen,Regen,None,None,NanoCell,Biomedical,YES,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.1021/acsami.2c14157,2022,,R2,Unspecified,PVA,Salt,DynamicBond|SelfHeal|Adhesive,DynamicBond+PVA,Sensor,YES,NO,,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES
10.1016/j.ijbiomac.2022.11.014,2022,,R2,Unspecified,PVA,None,SelfHeal,NanoCell+PVA,Sensor,NO,NO,,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES
10.1002/adfm.202207714,2022,Advanced Functional Materials,R2,Unspecified,Cellulose_unspec,DES_IL,None,DES,Sensor+Actuator+TENG,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.1016/j.carbpol.2022.120117,2022,,R2,CNF+CNC+MFC/MCC,NanoCell_CNF|NanoCell_CNC|PVA,None,None,NanoCell+PVA,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1002/anie.202200271,2022,Angewandte Chemie,R2,None,None,Salt,None,Unclear,Environmental,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
10.1016/j.jcis.2022.01.117,2022,,R2,Unspecified,PAM,None,Adhesive,NanoCell+PAM,Sensor,NO,NO,,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,YES
10.1063/1674-0068/cjcp2106104,2022,,R2,CMC,CMC|PAA,None,None,PAA,Sensor+Coating,NO,NO,,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
10.1016/j.ijbiomac.2023.126693,2023,,R2,Regen,Regen,None,None,Unclear,Biomedical,YES,NO,,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES
10.1016/j.ijbiomac.2023.123936,2023,,R2,Unspecified,HPC|PAM,None,None,PAM,Sensor+Agricultural,YES,YES,-70,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES
10.1016/j.ijbiomac.2023.123425,2023,,R2,Regen,Regen,Salt,DN_IPN,Salt+DN,Sensor,NO,NO,,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES
10.1016/j.ijbiomac.2023.124780,2023,,R2,Unspecified,Chitin_CS,None,None,NanoCell+Chitin/CS,Sensor,NO,NO,,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES
10.1002/adfm.202305879,2023,Advanced Functional Materials,R2,None,None,DES_IL,PhotoPoly|SelfHeal|Adhesive,DES+PhotoPoly,Sensor+TENG,YES,NO,,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO
10.1080/10584587.2023.2227051,2023,,R2,Unspecified,PVA,Salt|Org_polyol,None,Salt+Org-H+NanoCell+PVA,Sensor,YES,YES,-20,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,YES
10.1002/pc.27243,2023,Polymer Composites,R2,CNC,NanoCell_CNC|Lignin|Chitin_CS,None,None,NanoCell+Lignin+Chitin/CS,General,NO,NO,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
10.1063/5.0139951,2023,,R2,Unspecified,PAM|PAA,None,DN_IPN|SelfHeal|Adhesive,DN+PAM+PAA,Sensor+Actuator+TENG,NO,NO,,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES
10.1021/acsami.3c05208,2023,,R2,Unspecified,HEC|Gelatin,DES_IL|Org_polyol,DN_IPN|SelfHeal|Adhesive,DES+Org-H+DN+Gelatin,Sensor,YES,YES,-20,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES
10.1016/j.carbpol.2023.120567,2023,,R2,CNF,NanoCell_CNF|PAM,None,None,NanoCell+PAM,Sensor,YES,YES,-40,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES
10.1016/j.carbpol.2023.120744,2023,,R2,Regen,Regen,DES_IL,None,DES,Actuator,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1002/slct.202400710,2024,ChemistrySelect,R2,CNC,NanoCell_CNC|PVA|PAM,None,DN_IPN,DN+NanoCell+PVA+PAM,Sensor,NO,NO,,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES
10.1002/adfm.202312149,2024,Advanced Functional Materials,R2,None,None,Org_polyol,Adhesive,Org-H,Sensor+Biomedical,YES,NO,,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO
10.1063/5.0207037,2024,,R2,Unspecified,Chitin_CS|PVA,Salt,None,Salt+NanoCell+Chitin/CS+PVA,Sensor,NO,NO,,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES
10.1016/j.bios.2023.115893,2023,,R2,CMC,CMC,None,SelfHeal|Adhesive,Unclear,Sensor+Encryption,NO,NO,,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES
10.1002/app.55298,2024,Journal of Applied Polymer Science,R2,None,PVA,None,DN_IPN,DN+PVA,Actuator,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
10.1016/j.carbpol.2024.123136,2024,,R2,Unspecified,Chitin_CS|PVA,Salt,Adhesive,Salt+Chitin/CS+PVA,Sensor+Biomedical,YES,NO,,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES
10.1016/j.ijbiomac.2024.131118,2024,,R2,Unspecified,NanoCell_CNF|PVA,None,DN_IPN,DN+NanoCell+PVA,Sensor+Actuator,YES,NO,,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
10.1080/1536383x.2024.2310697,2024,,R2,Unspecified,Chitin_CS|Starch|Gelatin|PVA,None,None,Starch+Chitin/CS+PVA+Gelatin,Biomedical,NO,NO,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES
